"jlpt_level","word","reading","meanings","action_type","suggested_setting"
"N3","恐れる","おそれる","to fear; to be afraid of","state / thought / contextual verb","general dialogue / flexible setting"
"N3","狂う","くるう","to go mad; to get out of order","social / dialogue action","shop / market"
"N3","苦しむ","くるしむ","to suffer; to groan; to be worried","state / thought / contextual verb","general dialogue / flexible setting"
"N3","空く","すく","(1) to open; to become empty; (2) to be less crowded","visible movement","home / inn"
"N3","繰り返す","くりかえす","to repeat; to do something over again","visible movement","restaurant / kitchen"
"N3","経つ","たつ","to pass; to lapse","state / thought / contextual verb","general dialogue / flexible setting"
"N3","繋ぐ","つなぐ","to tie; to fasten; to connect; to transfer (phone call)","social / dialogue action","general dialogue / flexible setting"
"N3","計る","はかる","to measure; to weigh; to survey","object / interface action","general dialogue / flexible setting"
"N3","撃つ","うつ","to attack; to defeat; to destroy","visible movement","restaurant / kitchen"
"N3","欠ける","かける","to be lacking","state / thought / contextual verb","general dialogue / flexible setting"
"N3","結ぶ","むすぶ","to tie; to bind; to link","state / thought / contextual verb","general dialogue / flexible setting"
"N3","嫌う","きらう","to hate; to dislike; to loathe","state / thought / contextual verb","general dialogue / flexible setting"
"N3","見る","みる","to see; to watch","visible movement","general dialogue / flexible setting"
"N3","減らす","へらす","to abate; to decrease; to diminish; to shorten","state / thought / contextual verb","general dialogue / flexible setting"
"N3","減る","へる","to decrease (in size or number); to diminish; to abate","state / thought / contextual verb","general dialogue / flexible setting"
"N3","現す","あらわす","to show; to indicate; to display","social / dialogue action","general dialogue / flexible setting"
"N3","現れる","あらわれる","(1) to appear; to come in sight; to become visible; (2) to express oneself","object / interface action","general dialogue / flexible setting"
"N3","言う","ゆう","to say","social / dialogue action","general dialogue / flexible setting"
"N3","限る","かぎる","to restrict; to limit; to confine","state / thought / contextual verb","general dialogue / flexible setting"
"N3","雇う","やとう","to employ; to hire","state / thought / contextual verb","general dialogue / flexible setting"
"N3","語る","かたる","to talk; to tell; to recite","social / dialogue action","social encounter"
"N3","効く","きく","to be effective","state / thought / contextual verb","general dialogue / flexible setting"
"N3","向く","むく","to face","state / thought / contextual verb","general dialogue / flexible setting"
"N3","向ける","むける","to turn towards; to point","visible movement","general dialogue / flexible setting"
"N3","好む","このむ","to like; to prefer","state / thought / contextual verb","general dialogue / flexible setting"
"N3","広がる","ひろがる","to spread (out); to extend; to stretch; to reach to; to get around","visible movement","school / library"
"N3","構う","かまう","to mind; to care about; to be concerned about","state / thought / contextual verb","general dialogue / flexible setting"
"N3","降ろす","おろす","to take down; to launch; to drop","visible movement","general dialogue / flexible setting"
"N3","合わせる","あわせる","to join together; to be opposite; to face; to unite","visible movement","general dialogue / flexible setting"
"N3","済ませる","すませる","to be finished","state / thought / contextual verb","general dialogue / flexible setting"
"N3","殺す","ころす","to kill","state / thought / contextual verb","general dialogue / flexible setting"
"N3","残す","のこす","to leave (behind; over); to bequeath; to save; to reserve","visible movement","restaurant / kitchen"
"N3","伺う","うかがう","(hon) to visit; to ask; to inquire","visible movement","general dialogue / flexible setting"
"N3","指す","さす","to point; to put up umbrella; to play","visible movement","general dialogue / flexible setting"
"N3","支える","ささえる","to be blocked; to choke; to be obstructed","object / interface action","general dialogue / flexible setting"
"N3","支払う","しはらう","to pay","object / interface action","shop / market"
"N3","止す","よす","to cease; to abolish; to resign; to give up","social / dialogue action","general dialogue / flexible setting"
"N3","至る","いたる","to come; to arrive","state / thought / contextual verb","station / street / travel"
"N3","試す","ためす","to attempt; to test","state / thought / contextual verb","general dialogue / flexible setting"
"N3","飼う","かう","to keep; to raise; to feed","state / thought / contextual verb","general dialogue / flexible setting"
"N3","似合う","にあう","to suit; to match; to become; to be like","state / thought / contextual verb","general dialogue / flexible setting"
"N3","持ち上げる","もちあげる","to raise; to lift up; to flatter","visible movement","general dialogue / flexible setting"
"N3","示す","しめす","to denote; to show; to point out; to indicate","visible movement","general dialogue / flexible setting"
"N3","辞める","やめる","to retire","state / thought / contextual verb","general dialogue / flexible setting"
"N3","叱る","しかる","to scold","state / thought / contextual verb","general dialogue / flexible setting"
"N3","失う","うしなう","to lose; to part with","state / thought / contextual verb","general dialogue / flexible setting"
"N3","取り上げる","とりあげる","to take up; to pick up; to disqualify; to confiscate; to deprive","visible movement","general dialogue / flexible setting"
"N3","取れる","とれる","to come off; to be taken off; to be removed","visible movement","general dialogue / flexible setting"
"N3","守る","まもる","to protect; to obey; to guard; to abide (by the rules)","social / dialogue action","clinic / emergency"
"N3","受け取る","うけとる","to receive; to get; to accept; to take","visible movement","general dialogue / flexible setting"
"N3","収める","おさめる","to obtain; to reap; to pay; to supply; to accept","object / interface action","shop / market"
"N3","就く","つく","to settle in (place); to take (seat; position); to study (under teacher)","visible movement","restaurant / kitchen"
"N3","終える","おえる","to finish","state / thought / contextual verb","general dialogue / flexible setting"
"N3","従う","したがう","to abide (by the rules); to obey; to follow; to accompany","visible movement","street / park / outdoors"
"N3","祝う","いわう","to congratulate; to celebrate","social / dialogue action","general dialogue / flexible setting"
"N3","出会う","であう","to meet by chance; to come across; to happen to encounter","visible movement","station / street / travel"
"N3","述べる","のべる","to state; to express; to mention","object / interface action","general dialogue / flexible setting"
"N3","助ける","たすける","to help; to save; to rescue","social / dialogue action","clinic / emergency"
"N3","除く","のぞく","to remove; to exclude; to except","visible movement","general dialogue / flexible setting"
"N3","招く","まねく","to invite","social / dialogue action","social encounter"
"N3","昇る","のぼる","to arise; to ascend; to go up","state / thought / contextual verb","general dialogue / flexible setting"
"N3","省く","はぶく","to omit; to eliminate; to curtail; to economize","state / thought / contextual verb","general dialogue / flexible setting"
"N3","乗せる","のせる","to place on (something); to take on board; to give a ride","visible movement","station / street / travel"
"N3","譲る","ゆずる","to turn over; to assign; to hand over","visible movement","general dialogue / flexible setting"
"N3","触れる","ふれる","to touch; to be touched; to touch on a subject; to feel; to violate (law; copyright; etc.); to perceive; t","visible movement","office / workplace"
"N3","伸ばす","のばす","to lengthen; to stretch; to reach out; to grow (beard)","visible movement","general dialogue / flexible setting"
"N3","伸びる","のびる","to stretch; to extend; to make progress; to grow (beard; body height)","visible movement","general dialogue / flexible setting"
"N3","信じる","しんじる","to believe; to place trust in","visible movement","general dialogue / flexible setting"
"N3","振る","ふる","(1) to wave; to shake; to swing; (2) to sprinkle; (3) to cast (actor); to allocate (work)","visible movement","office / workplace"
"N3","申し込む","もうしこむ","to apply for; to make an application","state / thought / contextual verb","general dialogue / flexible setting"
"N3","進める","すすめる","to advance; to promote; to hasten","state / thought / contextual verb","general dialogue / flexible setting"
"N3","震える","ふるえる","to shiver; to shake; to quake","visible movement","general dialogue / flexible setting"
"N3","酔う","よう","to get drunk; to become intoxicated","visible movement","street / park / outdoors"
"N3","数える","かぞえる","to count","object / interface action","general dialogue / flexible setting"
"N3","成る","なる","to become","state / thought / contextual verb","general dialogue / flexible setting"
"N3","生じる","しょうじる","to produce; to yield; to result from; to arise; to be generated","state / thought / contextual verb","general dialogue / flexible setting"
"N3","精々","せいぜい","at the most; at best; to the utmost; as much (far) as possible","state / thought / contextual verb","general dialogue / flexible setting"
"N3","積もる","つもる","to pile up","state / thought / contextual verb","general dialogue / flexible setting"
"N3","責める","せめる","to condemn; to blame; to criticize","state / thought / contextual verb","general dialogue / flexible setting"
"N3","切れる","きれる","(1) to cut well; to be sharp; (2) to break (off)","visible movement","restaurant / kitchen"
"N3","先ず","まず","first (of all); to start with; about; almost; hardly (with neg. verb)","state / thought / contextual verb","general dialogue / flexible setting"
"N3","占める","しめる","(1) to comprise; to account for; to make up (of); (2) to hold; to occupy","visible movement","general dialogue / flexible setting"
"N3","戦う","たたかう","to fight; to battle; to combat","state / thought / contextual verb","general dialogue / flexible setting"
"N3","組む","くむ","to put together","visible movement","general dialogue / flexible setting"
"N3","訴える","うったえる","to sue (a person); to resort to; to appeal to","state / thought / contextual verb","general dialogue / flexible setting"
"N3","増す","ます","to increase; to grow","state / thought / contextual verb","general dialogue / flexible setting"
"N3","贈る","おくる","to send; to give to; to award to; to confer on","social / dialogue action","general dialogue / flexible setting"
"N3","打つ","ぶつ","to hit; to strike","visible movement","general dialogue / flexible setting"
"N3","対する","たいする","to face; to confront; to oppose","state / thought / contextual verb","general dialogue / flexible setting"
"N3","怠ける","なまける","to be idle; to neglect","state / thought / contextual verb","general dialogue / flexible setting"
"N3","替える","かえる","to exchange; to interchange; to substitute; to replace","visible movement","shop / market"
"N3","叩く","たたく","to strike; to clap; to dust; to beat","visible movement","restaurant / kitchen"
"N3","達する","たっする","to reach; to get to","state / thought / contextual verb","general dialogue / flexible setting"
"N3","奪う","うばう","to snatch away","state / thought / contextual verb","general dialogue / flexible setting"
"N3","断る","ことわる","to refuse; to decline; to dismiss","social / dialogue action","general dialogue / flexible setting"
"N3","注ぐ","そそぐ","to pour (into); to irrigate; to pay; to fill; to feed (e.g. a fire)","object / interface action","shop / market"
"N3","張る","はる","to stick; to paste","state / thought / contextual verb","general dialogue / flexible setting"
"N3","眺める","ながめる","to view; to gaze at","state / thought / contextual verb","general dialogue / flexible setting"
"N3","頂く","いただく","to receive; to take food or drink (hum)","visible movement","restaurant / kitchen"
"N3","沈む","しずむ","to sink; to feel depressed","object / interface action","general dialogue / flexible setting"
"N3","追い付く","おいつく","to overtake; to catch up (with)","visible movement","general dialogue / flexible setting"
"N3","追う","おう","to chase; to run after","visible movement","street / park / outdoors"
"N3","通じる","つうじる","to run to; to lead to; to communicate; to understand","visible movement","street / park / outdoors"
"N3","通す","とおす","to let pass; to overlook; to continue","visible movement","general dialogue / flexible setting"
"N3","通り過ぎる","とおりすぎる","to pass; to pass through","state / thought / contextual verb","general dialogue / flexible setting"
"N3","掴む","つかむ","to seize; to catch; to grasp","visible movement","general dialogue / flexible setting"
"N3","諦める","あきらめる","to give up; to abandon","social / dialogue action","general dialogue / flexible setting"
"N3","適する","てきする","to fit; to suit","state / thought / contextual verb","general dialogue / flexible setting"
"N3","溺れる","おぼれる","to be drowned; to indulge in","state / thought / contextual verb","general dialogue / flexible setting"
"N3","転ぶ","ころぶ","to fall down; to fall over","visible movement","general dialogue / flexible setting"
"N3","吐く","はく","(1) to breathe; (2) to tell (lies); (3) to vomit; to disgorge","visible movement","restaurant / kitchen"
"N3","倒す","たおす","to throw down; to beat; to bring down; to blow down","visible movement","restaurant / kitchen"
"N3","凍る","こおる","to freeze; to be frozen over; to congeal","state / thought / contextual verb","general dialogue / flexible setting"
"N3","当たる","あたる","to be hit; to be successful; to be equivalent to","visible movement","general dialogue / flexible setting"
"N3","当てる","あてる","to hit; to apply a patch","visible movement","general dialogue / flexible setting"
"N3","動かす","うごかす","to move; to shift","visible movement","general dialogue / flexible setting"
"N3","得る","える","to get; to gain; to win","state / thought / contextual verb","general dialogue / flexible setting"
"N3","届く","とどく","to reach","state / thought / contextual verb","general dialogue / flexible setting"
"N3","任せる","まかせる","to entrust to another; to leave to","visible movement","general dialogue / flexible setting"
"N3","認める","みとめる","to recognize; to appreciate; to approve; to admit; to notice","state / thought / contextual verb","office / workplace"
"N3","濡れる","ぬれる","to get wet","state / thought / contextual verb","general dialogue / flexible setting"
"N3","燃える","もえる","to burn","state / thought / contextual verb","general dialogue / flexible setting"
"N3","悩む","なやむ","to be worried; to be troubled","state / thought / contextual verb","general dialogue / flexible setting"
"N3","破る","やぶる","to tear; to violate; to defeat; to smash; to destroy","visible movement","restaurant / kitchen"
"N3","売れる","うれる","to be sold","state / thought / contextual verb","general dialogue / flexible setting"
"N3","罰する","ばっする","to punish; to penalize","state / thought / contextual verb","general dialogue / flexible setting"
"N3","抜く","ぬく","to extract; to omit; to surpass; to draw out; to unplug","state / thought / contextual verb","general dialogue / flexible setting"
"N3","抜ける","ぬける","to come out; to fall out; to be omitted","visible movement","general dialogue / flexible setting"
"N3","悲しむ","かなしむ","to be sad; to mourn for; to regret","state / thought / contextual verb","general dialogue / flexible setting"
"N3","被る","かぶる","to suffer","state / thought / contextual verb","general dialogue / flexible setting"
"N3","避ける","さける","(1) to avoid (physical contact ); (2) to ward off; to avert","social / dialogue action","office / workplace"
"N3","飛ばす","とばす","to skip over; to omit","state / thought / contextual verb","general dialogue / flexible setting"
"N3","飛び出す","とびだす","to jump out; to rush out; to fly out","visible movement","street / park / outdoors"
"N3","備える","そなえる","to furnish; to provide for; to equip; to install","state / thought / contextual verb","general dialogue / flexible setting"
"N3","微笑む","ほほえむ","to smile","visible movement","general dialogue / flexible setting"
"N3","表す","あらわす","to express; to show; to reveal","social / dialogue action","general dialogue / flexible setting"
"N3","描く","えがく","to draw; to paint; to sketch; to depict; to describe","state / thought / contextual verb","general dialogue / flexible setting"
"N3","付ける","つける","to attach; to join; to add; to append","object / interface action","general dialogue / flexible setting"
"N3","腐る","くさる","to rot; to go bad","state / thought / contextual verb","general dialogue / flexible setting"
"N3","覆う","おおう","to cover; to hide; to conceal; to wrap; to disguise","visible movement","general dialogue / flexible setting"
"N3","分ける","わける","to divide; to separate","state / thought / contextual verb","general dialogue / flexible setting"
"N3","閉じる","とじる","to close (e.g. book; eyes); to shut","visible movement","home / inn"
"N3","捕まる","つかまる","to be caught; to be arrested","state / thought / contextual verb","general dialogue / flexible setting"
"N3","暮らす","くらす","to live; to get along","state / thought / contextual verb","general dialogue / flexible setting"
"N3","抱える","かかえる","to hold or carry under or in the arms","visible movement","general dialogue / flexible setting"
"N3","抱く","いだく","(sl) to embrace; to hug; to harbour; to entertain","visible movement","general dialogue / flexible setting"
"N3","放す","はなす","to separate; to set free","state / thought / contextual verb","general dialogue / flexible setting"
"N3","褒める","ほめる","to praise; to admire; to speak well","social / dialogue action","social encounter"
"N3","飽きる","あきる","to get tired of; to lose interest in; to have enough","state / thought / contextual verb","general dialogue / flexible setting"
"N3","望む","のぞむ","to desire; to wish for; to see; to command (a view of)","social / dialogue action","general dialogue / flexible setting"
"N3","防ぐ","ふせぐ","to defend (against); to protect; to prevent","social / dialogue action","clinic / emergency"
"N3","吠える","ほえる","to bark; to bay; to howl; to bellow; to roar; to cry","visible movement","general dialogue / flexible setting"
"N3","満ちる","みちる","to be full; to rise (tide); to mature; to expire","state / thought / contextual verb","general dialogue / flexible setting"
"N3","命じる","めいじる","to order; to command; to appoint","visible movement","shop / market"
"N3","明ける","あける","to dawn; to become daylight","state / thought / contextual verb","general dialogue / flexible setting"
"N3","黙る","だまる","to be silent","state / thought / contextual verb","general dialogue / flexible setting"
"N3","戻す","もどす","to restore; to put back; to return","visible movement","school / library"
"N3","貰う","もらう","to receive","social / dialogue action","general dialogue / flexible setting"
"N3","優れる","すぐれる","to surpass; to outstrip; to excel","state / thought / contextual verb","general dialogue / flexible setting"
"N3","有る","ある","to be; to have","state / thought / contextual verb","general dialogue / flexible setting"
"N3","誘う","さそう","(1) to invite; to ask; (2) to tempt; to lure; to induce","social / dialogue action","social encounter"
"N3","与える","あたえる","to give; to present; to award","social / dialogue action","general dialogue / flexible setting"
"N3","預ける","あずける","to give into custody; to entrust; to deposit","visible movement","general dialogue / flexible setting"
"N3","用いる","もちいる","to use; to make use of","object / interface action","general dialogue / flexible setting"
"N3","浴びる","あびる","to bathe; to bask in the sun; to shower","visible movement","home / inn"
"N3","頼る","たよる","to rely on; to have recourse to; to depend on","state / thought / contextual verb","general dialogue / flexible setting"
"N3","履く","はく","to wear; to put on (lower body)","visible movement","general dialogue / flexible setting"
"N3","裏切る","うらぎる","to betray; to turn traitor to; to double-cross","visible movement","station / street / travel"
"N3","離す","はなす","to part; divide; separate","state / thought / contextual verb","general dialogue / flexible setting"
"N3","離れる","はなれる","to be separated from; to leave; to go away; to be a long way off","visible movement","general dialogue / flexible setting"
"N3","立ち上がる","たちあがる","to stand up","visible movement","general dialogue / flexible setting"
"N3","流す","ながす","to drain; to float; to shed (blood; tears); to cruise (e.g. taxi)","state / thought / contextual verb","general dialogue / flexible setting"
"N3","流れる","ながれる","to stream; to flow; to run (ink); to be washed away","visible movement","home / inn"
"N3","留める","とめる","to fasten; to turn off; to detain","visible movement","general dialogue / flexible setting"
"N3","劣る","おとる","to fall behind; to be inferior to","visible movement","general dialogue / flexible setting"
"N3","論じる","ろんじる","to argue; to discuss; to debate","social / dialogue action","general dialogue / flexible setting"
"N3","話し合う","はなしあう","to discuss; to talk together","social / dialogue action","social encounter"
"N3","罹る","かかる","to suffer from","state / thought / contextual verb","general dialogue / flexible setting"
"N3","轢く","ひく","to run somebody over (with vehicle); to knock someone down","visible movement","street / park / outdoors"
"N2","あきれる","","to be amazed; to be shocked","state / thought / contextual verb","general dialogue / flexible setting"
"N2","あげる (=やる)","","to do for","state / thought / contextual verb","general dialogue / flexible setting"
"N2","あてはまる","","to be applicable; to come under (a category); to fulfill","object / interface action","general dialogue / flexible setting"
"N2","あてはめる","","to apply; to adapt","state / thought / contextual verb","general dialogue / flexible setting"
"N2","あぶる","","to scorch","state / thought / contextual verb","general dialogue / flexible setting"
"N2","あふれる","","to flood; to overflow; to brim over","state / thought / contextual verb","general dialogue / flexible setting"
"N2","あわてる","","to become confused","object / interface action","general dialogue / flexible setting"
"N2","おどかす","","to threaten; to coerce","visible movement","restaurant / kitchen"
"N2","かじる","","to chew; to bite (at); to gnaw; to nibble","state / thought / contextual verb","general dialogue / flexible setting"
"N2","からかう","","to ridicule; to tease; to banter with; to make fun of","state / thought / contextual verb","general dialogue / flexible setting"
"N2","かわいがる","","to love; to be affectionate","state / thought / contextual verb","general dialogue / flexible setting"
"N2","くたびれる","","to get tired; to wear out","visible movement","general dialogue / flexible setting"
"N2","くっつく","","to adhere to; to keep close to","visible movement","home / inn"
"N2","くっつける","","to attach","object / interface action","general dialogue / flexible setting"
"N2","くるむ","","to be engulfed in; to be enveloped by; to wrap up","object / interface action","general dialogue / flexible setting"
"N2","こしらえる","","to make; to manufacture","state / thought / contextual verb","general dialogue / flexible setting"
"N2","こぼす","","to spill","state / thought / contextual verb","general dialogue / flexible setting"
"N2","こぼれる","","to overflow; to spill","state / thought / contextual verb","general dialogue / flexible setting"
"N2","こらえる","","to bear; to stand; to endure; to put up with","visible movement","general dialogue / flexible setting"
"N2","しびれる","","to become numb; to go to sleep (i.e.; a limb)","visible movement","home / inn"
"N2","しぼむ","","to wither; to fade (away); to shrivel; to wilt","state / thought / contextual verb","general dialogue / flexible setting"
"N2","しゃがむ","","to squat","state / thought / contextual verb","general dialogue / flexible setting"
"N2","しゃぶる","","to suck; to chew","state / thought / contextual verb","general dialogue / flexible setting"
"N2","ずらす","","to put off; to delay","visible movement","general dialogue / flexible setting"
"N2","すれちがう","","to pass by one another; to disagree","social / dialogue action","general dialogue / flexible setting"
"N2","だます","","to trick; to cheat; to deceive","visible movement","restaurant / kitchen"
"N2","ためらう","","to hesitate","visible movement","general dialogue / flexible setting"
"N2","ちぎる","","to cut up fine; to pick (fruit)","visible movement","restaurant / kitchen"
"N2","つまずく","","to stumble; to trip","state / thought / contextual verb","general dialogue / flexible setting"
"N2","どなる","","to shout; to yell","state / thought / contextual verb","general dialogue / flexible setting"
"N2","なぐる","","to strike; to hit","visible movement","general dialogue / flexible setting"
"N2","はめる","","(col) to get in; to insert; to put on; to make love","visible movement","general dialogue / flexible setting"
"N2","ふざける","","to romp; to gambol; to frolic; to joke","state / thought / contextual verb","general dialogue / flexible setting"
"N2","ぶつかる","","to strike; to collide with","state / thought / contextual verb","general dialogue / flexible setting"
"N2","ぶつける","","to knock; to run into; to nail on; to strike hard; to hit and attack","visible movement","street / park / outdoors"
"N2","ぶらさげる","","to hang; to suspend; to dangle; to swing","state / thought / contextual verb","general dialogue / flexible setting"
"N2","へる","","to decrease (in size or number); to diminish; to abate","state / thought / contextual verb","general dialogue / flexible setting"
"N2","ほどく","","to unfasten","state / thought / contextual verb","general dialogue / flexible setting"
"N2","またぐ","","to straddle","state / thought / contextual verb","general dialogue / flexible setting"
"N2","もたれる","","to lean against; to lean on; to recline on; to lie heavy (on the stomach)","state / thought / contextual verb","general dialogue / flexible setting"
"N2","やっつける","","to attack (an enemy); to beat; to do away with; to finish off","visible movement","restaurant / kitchen"
"N2","ゆでる","","to boil","state / thought / contextual verb","general dialogue / flexible setting"
"N2","よこす","","(1) to send; to forward; (2) to hand over (e.g. money)","object / interface action","general dialogue / flexible setting"
"N2","威張る","いばる","to be proud; to swagger","state / thought / contextual verb","general dialogue / flexible setting"
"N2","慰める","なぐさめる","to comfort; to console","state / thought / contextual verb","general dialogue / flexible setting"
"N2","為す","なす","to accomplish; to do","state / thought / contextual verb","general dialogue / flexible setting"
"N2","逸れる","それる","to stray (turn) from subject; to get lost; to go astray","visible movement","general dialogue / flexible setting"
"N2","因る","よる","to come from","state / thought / contextual verb","general dialogue / flexible setting"
"N2","引き止める","ひきとめる","to detain; to check; to restrain","object / interface action","station / street / travel"
"N2","引っ掛かる","ひっかかる","to be caught in; to be stuck in; to be cheated","visible movement","restaurant / kitchen"
"N2","引っ繰り返す","ひっくりかえす","to turn over; to overturn; to knock over; to upset; to turn inside out","visible movement","general dialogue / flexible setting"
"N2","引っ繰り返る","ひっくりかえる","to be overturned; to be upset; to topple over; to be reversed","visible movement","general dialogue / flexible setting"
"N2","引っ込む","ひっこむ","to draw back; to sink; to cave in","state / thought / contextual verb","general dialogue / flexible setting"
"N2","引受る","ひきうける","to undertake; to take up; to take over","visible movement","general dialogue / flexible setting"
"N2","引出す","ひきだす","to pull out; to take out; to draw out; to withdraw","visible movement","general dialogue / flexible setting"
"N2","引返す","ひきかえす","to repeat; to send back; to bring back","visible movement","restaurant / kitchen"
"N2","映す","うつす","to project; to reflect; to cast (shadow)","state / thought / contextual verb","general dialogue / flexible setting"
"N2","映る","うつる","to be reflected; to harmonize with; to come out (photo)","state / thought / contextual verb","general dialogue / flexible setting"
"N2","延ばす","のばす","to lengthen; to stretch; to reach out; to grow (beard)","visible movement","general dialogue / flexible setting"
"N2","延びる","のびる","to be prolonged","state / thought / contextual verb","general dialogue / flexible setting"
"N2","汚す","よごす","(1) to disgrace; to dishonour; (2) to pollute; to contaminate; to soil; to make dirty; to stain","state / thought / contextual verb","general dialogue / flexible setting"
"N2","凹む","へこむ","to be dented; to be indented; to yield to; to give; to sink; to collapse; to cave in; to be snubbed","social / dialogue action","general dialogue / flexible setting"
"N2","応ずる","おうずる","to answer; to respond; to meet; to satisfy; to accept","social / dialogue action","school / library"
"N2","押える","おさえる","to stop; to restrain; to seize; to repress; to suppress; to press down","visible movement","station / street / travel"
"N2","卸す","おろす","to sell wholesale; grated (vegetables)","object / interface action","shop / market"
"N2","下る","くだる","to get down; to descend","state / thought / contextual verb","general dialogue / flexible setting"
"N2","悔やむ","くやむ","to mourn","state / thought / contextual verb","general dialogue / flexible setting"
"N2","改める","あらためる","to change; to alter; to reform; to revise","state / thought / contextual verb","general dialogue / flexible setting"
"N2","外れる","はずれる","to be disconnected; to get out of place; to be off; to be out (e.g. of gear)","visible movement","general dialogue / flexible setting"
"N2","隔てる","へだてる","to be shut out","state / thought / contextual verb","general dialogue / flexible setting"
"N2","渇く","かわく","to be thirsty","state / thought / contextual verb","general dialogue / flexible setting"
"N2","乾かす","かわかす","to dry (clothes; etc.); to desiccate","state / thought / contextual verb","general dialogue / flexible setting"
"N2","巻く","まく","to wind; to coil; to roll","state / thought / contextual verb","general dialogue / flexible setting"
"N2","干す","ほす","to air; to dry; to desiccate; to drain (off); to drink up","visible movement","restaurant / kitchen"
"N2","感ずる","かんずる","to feel; to sense","state / thought / contextual verb","general dialogue / flexible setting"
"N2","甘やかす","あまやかす","to pamper; to spoil","state / thought / contextual verb","general dialogue / flexible setting"
"N2","含める","ふくめる","to include; to instruct; to make one understand","visible movement","general dialogue / flexible setting"
"N2","寄せる","よせる","to collect; to gather; to add; to put aside","visible movement","general dialogue / flexible setting"
"N2","帰す","かえす","to send back","object / interface action","general dialogue / flexible setting"
"N2","気を付ける","きをつける","to be careful; to pay attention; to take care","visible movement","shop / market"
"N2","飢える","うえる","to starve","state / thought / contextual verb","general dialogue / flexible setting"
"N2","詰まる","つまる","to be blocked; to be packed","object / interface action","general dialogue / flexible setting"
"N2","汲む","くむ","(1) to draw (water); to dip; to scoop; to pump","state / thought / contextual verb","general dialogue / flexible setting"
"N2","挙げる","あげる","to raise; to fly","state / thought / contextual verb","general dialogue / flexible setting"
"N2","挟まる","はさまる","to get between; to be caught in","state / thought / contextual verb","general dialogue / flexible setting"
"N2","挟む","はさむ","to interpose; to hold between; to insert","visible movement","general dialogue / flexible setting"
"N2","教わる","おそわる","to be taught","state / thought / contextual verb","general dialogue / flexible setting"
"N2","響く","ひびく","to resound","state / thought / contextual verb","general dialogue / flexible setting"
"N2","驚かす","おどろかす","to surprise; to frighten; to create a stir","visible movement","restaurant / kitchen"
"N2","曲げる","まげる","to bend; to crook; to lean","visible movement","general dialogue / flexible setting"
"N2","近寄る","ちかよる","to approach; to draw near","state / thought / contextual verb","general dialogue / flexible setting"
"N2","近付ける","ちかづける","to bring near; to put close; to let come near; to associate with","visible movement","home / inn"
"N2","区切る","くぎる","to punctuate; to cut off; to mark off; to stop; to put an end to","visible movement","restaurant / kitchen"
"N2","具える","そなえる","to be furnished with","state / thought / contextual verb","general dialogue / flexible setting"
"N2","掘る","ほる","to dig; to excavate","visible movement","street / park / outdoors"
"N2","係わる","かかわる","to concern oneself in; to have to do with; to affect; to influence; to stick to (opinions)","state / thought / contextual verb","general dialogue / flexible setting"
"N2","傾く","かたむく","to incline toward; to slant; to lurch","state / thought / contextual verb","general dialogue / flexible setting"
"N2","恵まれる","めぐまれる","to be blessed with; to be rich in","state / thought / contextual verb","general dialogue / flexible setting"
"N2","敬う","うやまう","to show respect; to honour","social / dialogue action","general dialogue / flexible setting"
"N2","繋がる","つながる","to be tied together; to be connected to; to be related to","object / interface action","general dialogue / flexible setting"
"N2","繋げる","つなげる","to connect","object / interface action","general dialogue / flexible setting"
"N2","兼ねる","かねる","to hold (position); to serve; to be unable","visible movement","restaurant / kitchen"
"N2","嫌がる","いやがる","to hate; to dislike","state / thought / contextual verb","general dialogue / flexible setting"
"N2","建つ","たつ","to erect; to be erected; to be built","state / thought / contextual verb","general dialogue / flexible setting"
"N2","見下ろす","みおろす","to overlook; to command a view of; to look down on something","visible movement","general dialogue / flexible setting"
"N2","見慣れる","みなれる","to become used to seeing; to be familiar with","object / interface action","general dialogue / flexible setting"
"N2","見送る","みおくる","(1) to see off; to farewell; (2) to escort; (3) to let pass","state / thought / contextual verb","general dialogue / flexible setting"
"N2","見直す","みなおす","to look again; to get a better opinion of","visible movement","general dialogue / flexible setting"
"N2","見付かる","みつかる","to be found; to be discovered","state / thought / contextual verb","general dialogue / flexible setting"
"N2","見付ける","みつける","to be familiar; to discover; to detect","state / thought / contextual verb","general dialogue / flexible setting"
"N2","見舞う","みまう","to ask after (health); to visit","visible movement","clinic / emergency"
"N2","言い出す","いいだす","to start talking; to speak; to tell; to propose; to suggest; to break the ice","visible movement","social encounter"
"N2","言い付ける","いいつける","to tell; to tell on (someone); to order","social / dialogue action","shop / market"
"N2","言付ける","ことづける","to send word; to send a message","object / interface action","general dialogue / flexible setting"
"N2","呼び掛ける","よびかける","to call out to; to accost; to address (crowd); to appeal","visible movement","home / inn"
"N2","呼び出す","よびだす","to summon; to call (e.g. phone)","social / dialogue action","general dialogue / flexible setting"
"N2","固まる","かたまる","to harden; to solidify; to become firm; to become certain","state / thought / contextual verb","general dialogue / flexible setting"
"N2","枯れる","かれる","to wither; to die (plant); to be blasted (plant)","visible movement","street / park / outdoors"
"N2","交ざる","まざる","to be mixed; to be blended with; to associate with; to mingle with; to join","state / thought / contextual verb","general dialogue / flexible setting"
"N2","交じる","まじる","to be mixed; to be blended with; to associate with","state / thought / contextual verb","general dialogue / flexible setting"
